City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Ushuaia,-54.8,-68.3,55.69,35,24,2.82,AR,2021-11-27 16:01:19,few clouds
1,Albany,42.6001,-73.9662,27.25,59,12,15.75,US,2021-11-27 16:01:58,few clouds
2,Iqaluit,63.7506,-68.5145,20.75,88,100,8.43,CA,2021-11-27 16:02:03,light snow
3,Ribeira Grande,38.5167,-28.7,66.6,55,20,17.27,PT,2021-11-27 16:03:17,few clouds
4,Acari,-15.4311,-74.6158,74.89,66,82,8.99,PE,2021-11-27 16:03:18,broken clouds
5,Narsaq,60.9167,-46.05,37.62,99,100,8.34,GL,2021-11-27 16:03:18,light rain
6,Caravelas,-17.7125,-39.2481,86.59,51,90,6.96,BR,2021-11-27 16:03:18,heavy intensity rain
7,Tilichiki,60.4667,166.1,30.7,93,100,26.11,RU,2021-11-27 16:00:27,snow
8,Ponta Do Sol,32.6667,-17.1,65.03,66,17,6.17,PT,2021-11-27 16:03:19,few clouds
9,Vao,-22.6667,167.4833,75.38,87,100,16.17,NC,2021-11-27 15:58:55,overcast clouds
10,Silvia,2.611,-76.3785,66.7,52,65,1.59,CO,2021-11-27 16:03:19,broken clouds
11,Avarua,-21.2078,-159.775,78.85,89,75,5.75,CK,2021-11-27 16:03:19,light rain
12,Atasu,48.6814,71.6433,8.24,84,9,5.26,KZ,2021-11-27 16:03:20,clear sky
13,Mar Del Plata,-38.0023,-57.5575,66.24,69,76,13.31,AR,2021-11-27 16:03:20,broken clouds
14,Vacaria,-28.5122,-50.9339,63.64,91,100,7.74,BR,2021-11-27 16:03:21,overcast clouds
15,Bluff,-46.6,168.3333,44.87,82,58,7.0,NZ,2021-11-27 16:03:21,broken clouds
16,Isangel,-19.55,169.2667,77.11,88,75,6.91,VU,2021-11-27 16:03:21,broken clouds
17,Komsomolskiy,40.4272,71.7189,39.92,75,7,2.3,UZ,2021-11-27 16:01:17,mist
18,Port Alfred,-33.5906,26.891,69.3,90,64,26.15,ZA,2021-11-27 16:03:22,moderate rain
19,Dikson,73.5069,80.5464,-8.7,97,100,8.88,RU,2021-11-27 16:02:23,overcast clouds
20,Sungairaya,0.7,108.9,78.94,85,100,2.59,ID,2021-11-27 16:03:22,light rain
21,Coffs Harbour,-30.3,153.1333,66.16,77,75,16.11,AU,2021-11-27 16:02:30,moderate rain
22,Kindersley,51.4668,-109.1682,21.58,82,87,7.67,CA,2021-11-27 16:03:23,overcast clouds
23,Vaini,-21.2,-175.2,78.96,94,75,8.05,TO,2021-11-27 16:03:23,broken clouds
24,Punta Arenas,-53.15,-70.9167,53.71,40,75,19.57,CL,2021-11-27 16:03:23,broken clouds
25,Atuona,-9.8,-139.0333,77.63,78,11,19.6,PF,2021-11-27 16:03:24,few clouds
26,Moses Lake,47.1301,-119.2781,38.08,93,75,5.75,US,2021-11-27 16:03:24,broken clouds
27,Talnakh,69.4865,88.3972,-0.15,97,100,10.27,RU,2021-11-27 15:59:13,light snow
28,Hermanus,-34.4187,19.2345,68.16,62,98,21.47,ZA,2021-11-27 16:03:25,overcast clouds
29,Cikampek,-6.4197,107.4558,74.77,91,100,5.1,ID,2021-11-27 16:03:25,light rain
30,Castro,-24.7911,-50.0119,78.19,50,4,7.9,BR,2021-11-27 16:03:25,clear sky
31,Sitka,57.0531,-135.33,39.09,65,90,10.36,US,2021-11-27 16:03:25,overcast clouds
32,Cayenne,4.9333,-52.3333,80.64,83,75,8.05,GF,2021-11-27 16:00:06,broken clouds
33,Chokurdakh,70.6333,147.9167,-34.35,100,70,2.68,RU,2021-11-27 16:01:08,broken clouds
34,Bath,51.3779,-2.3591,40.98,66,24,23.85,GB,2021-11-27 16:03:26,few clouds
35,Kaeo,-35.1,173.7833,55.76,91,41,2.19,NZ,2021-11-27 16:03:26,scattered clouds
36,Nikolskoye,59.7035,30.7861,26.49,72,100,12.17,RU,2021-11-27 16:03:27,overcast clouds
37,Adrar,20.5022,-10.0711,83.17,24,84,11.86,MR,2021-11-27 16:00:43,broken clouds
38,Lasa,46.6166,10.7002,36.34,98,85,3.42,IT,2021-11-27 15:59:00,overcast clouds
39,Rikitea,-23.1203,-134.9692,76.26,75,2,16.55,PF,2021-11-27 16:03:27,light rain
40,Souillac,-20.5167,57.5167,79.18,69,20,8.05,MU,2021-11-27 15:59:18,few clouds
41,Nemuro,43.3236,145.575,38.52,65,61,21.74,JP,2021-11-27 16:03:28,broken clouds
42,Nanortalik,60.1432,-45.2371,44.78,89,99,13.85,GL,2021-11-27 15:59:17,overcast clouds
43,Sungai Besar,3.6746,100.9867,77.45,88,100,2.24,MY,2021-11-27 16:03:28,overcast clouds
44,Dungarpur,23.8333,73.7167,74.7,31,0,3.8,IN,2021-11-27 16:03:28,clear sky
45,Kudahuvadhoo,2.6708,72.8944,82.04,71,100,17.2,MV,2021-11-27 16:03:29,overcast clouds
46,Barrow,71.2906,-156.7887,-15.72,100,89,8.28,US,2021-11-27 16:00:02,overcast clouds
47,Qaanaaq,77.484,-69.3632,1.36,96,100,2.77,GL,2021-11-27 16:04:29,overcast clouds
48,Kawalu,-7.3817,108.2082,73.22,93,100,4.18,ID,2021-11-27 16:04:29,moderate rain
49,Krasnoselkup,65.7,82.4667,0.54,95,100,9.46,RU,2021-11-27 16:04:30,overcast clouds
50,Petropavlovka,50.6114,105.3196,13.12,84,100,1.95,RU,2021-11-27 16:04:30,overcast clouds
51,Butaritari,3.0707,172.7902,81.52,77,99,19.08,KI,2021-11-27 16:04:30,light rain
52,Contai,21.7786,87.7536,69.62,44,92,6.33,IN,2021-11-27 16:04:31,overcast clouds
53,Gizo,-8.103,156.8419,81.95,75,97,3.6,SB,2021-11-27 16:04:31,light rain
54,Cherskiy,68.75,161.3,-27.54,93,8,4.05,RU,2021-11-27 16:04:31,clear sky
55,Olafsvik,64.8945,-23.7142,39.52,93,100,5.84,IS,2021-11-27 16:00:30,overcast clouds
56,Parys,48.8534,2.3488,39.78,93,90,8.05,FR,2021-11-27 16:03:25,overcast clouds
57,Bengkulu,-3.8004,102.2655,76.59,88,100,3.09,ID,2021-11-27 16:04:32,overcast clouds
58,Myaundzha,63.0494,147.1858,-32.82,98,37,1.43,RU,2021-11-27 16:04:32,scattered clouds
59,Torbay,47.6666,-52.7314,48.07,88,100,20.07,CA,2021-11-27 16:04:32,overcast clouds
60,Hofn,64.2539,-15.2082,35.31,44,100,6.35,IS,2021-11-27 16:04:33,overcast clouds
61,Mahibadhoo,3.7833,72.9667,80.29,81,100,15.61,MV,2021-11-27 16:02:01,overcast clouds
62,Martapura,-3.4167,114.85,77.09,100,90,3.44,ID,2021-11-27 16:04:33,light rain
63,Arraial Do Cabo,-22.9661,-42.0278,87.66,51,20,17.27,BR,2021-11-27 16:04:33,few clouds
64,Daru,-9.0763,143.2092,79.93,84,100,5.53,PG,2021-11-27 16:04:34,overcast clouds
65,Nome,64.5011,-165.4064,-18.33,69,1,0.0,US,2021-11-27 16:04:34,clear sky
66,Hobart,-42.8794,147.3294,46.26,87,0,3.44,AU,2021-11-27 16:04:34,clear sky
67,Kieta,-6.2167,155.6333,79.02,85,100,1.63,PG,2021-11-27 16:04:35,moderate rain
68,Moranbah,-22.0016,148.0466,75.65,73,0,4.7,AU,2021-11-27 16:04:35,clear sky
69,Lazaro Cardenas,17.9583,-102.2,80.83,66,8,2.77,MX,2021-11-27 16:04:35,clear sky
70,Severo-Kurilsk,50.6789,156.125,29.12,73,97,23.17,RU,2021-11-27 16:04:36,overcast clouds
71,Busselton,-33.65,115.3333,65.43,65,0,6.67,AU,2021-11-27 16:04:36,clear sky
72,Port Elizabeth,-33.918,25.5701,68.27,75,43,9.78,ZA,2021-11-27 16:03:17,scattered clouds
73,Kitimat,54.0524,-128.6534,32.38,97,100,3.56,CA,2021-11-27 16:04:36,snow
74,Jamestown,42.097,-79.2353,29.84,69,90,11.5,US,2021-11-27 16:01:46,overcast clouds
75,Yellowknife,62.456,-114.3525,-4.29,94,37,9.31,CA,2021-11-27 16:04:19,scattered clouds
