City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2021-11-25 15:45:05,-20.3428,57.7575,79.05,73,40,6.91
1,Rikitea,PF,2021-11-25 15:45:05,-23.1203,-134.9692,75.49,77,13,13.2
2,Charyshskoye,RU,2021-11-25 15:45:05,51.3978,83.5598,38.46,95,100,14.12
3,Punta Arenas,CL,2021-11-25 15:45:06,-53.15,-70.9167,53.71,50,40,28.77
4,Barrow,US,2021-11-25 15:41:58,71.2906,-156.7887,-9.38,77,1,17.27
5,Ponta Do Sol,PT,2021-11-25 15:45:07,32.6667,-17.1,68.72,61,89,3.67
6,Tautira,PF,2021-11-25 15:45:08,-17.7333,-149.15,77.02,75,40,15.41
7,Yellowknife,CA,2021-11-25 15:40:40,62.456,-114.3525,6.42,91,75,5.01
8,Provideniya,RU,2021-11-25 15:45:08,64.3833,-173.3,-0.78,82,57,7.18
9,Kaitangata,NZ,2021-11-25 15:45:08,-46.2817,169.8464,57.25,53,100,6.96
10,Ushuaia,AR,2021-11-25 15:45:09,-54.8,-68.3,47.86,61,40,6.91
11,Paamiut,GL,2021-11-25 15:45:09,61.994,-49.6678,32.95,96,100,2.84
12,Erenhot,CN,2021-11-25 15:45:09,43.6475,111.9767,22.98,63,0,4.5
13,Praia,CV,2021-11-25 15:45:10,14.9215,-23.5087,84.74,70,75,8.05
14,San Cristobal,VE,2021-11-25 15:45:10,7.7669,-72.225,73.58,67,100,4.18
15,Merauke,ID,2021-11-25 15:45:10,-8.4667,140.3333,81.34,69,100,4.36
16,Mount Isa,AU,2021-11-25 15:45:11,-20.7333,139.5,65.97,100,62,1.14
17,Bluff,NZ,2021-11-25 15:45:11,-46.6,168.3333,57.43,69,93,13.73
18,Mataura,NZ,2021-11-25 15:45:11,-46.1927,168.8643,58.71,54,100,9.04
19,Kodiak,US,2021-11-25 15:45:12,57.79,-152.4072,18.91,49,1,16.11
20,Esperance,AU,2021-11-25 15:45:12,-33.8667,121.9,57.04,77,100,10.36
21,Sao Filipe,CV,2021-11-25 15:45:12,14.8961,-24.4956,78.57,73,100,8.21
22,Dikson,RU,2021-11-25 15:40:37,73.5069,80.5464,0.88,92,100,5.61
23,Alamos,MX,2021-11-25 15:45:13,27.0167,-108.9333,68.94,63,6,1.92
24,Albany,US,2021-11-25 15:40:34,42.6001,-73.9662,44.73,71,96,1.32
25,Tiksi,RU,2021-11-25 15:45:13,71.6872,128.8694,-4.43,84,100,6.08
26,Ostrovnoy,RU,2021-11-25 15:45:14,68.0531,39.5131,11.77,77,81,3.36
27,Chapais,CA,2021-11-25 15:45:14,49.7834,-74.8492,26.38,97,100,4.07
28,Burnie,AU,2021-11-25 15:45:14,-41.0667,145.9167,52.92,86,100,10.36
29,Hobart,AU,2021-11-25 15:45:14,-42.8794,147.3294,48.06,67,40,4.0
30,Georgetown,MY,2021-11-25 15:45:15,5.4112,100.3354,78.89,90,40,3.0
31,Butaritari,KI,2021-11-25 15:45:15,3.0707,172.7902,82.18,73,51,15.73
32,Busselton,AU,2021-11-25 15:45:15,-33.65,115.3333,65.08,79,56,11.56
33,Portales,US,2021-11-25 15:45:16,34.1862,-103.3344,37.33,41,44,12.8
34,Gander,CA,2021-11-25 15:45:16,48.9682,-54.5906,50.16,99,90,23.0
35,Zaoyang,CN,2021-11-25 15:45:17,32.1272,112.7542,52.9,40,0,2.53
36,Hilo,US,2021-11-25 15:41:12,19.7297,-155.09,75.27,92,90,4.61
37,Bredasdorp,ZA,2021-11-25 15:45:17,-34.5322,20.0403,69.28,64,0,28.05
38,Vila Velha,BR,2021-11-25 15:45:17,-20.3297,-40.2925,80.55,67,40,1.99
39,Saint-Pierre,RE,2021-11-25 15:45:18,-21.3393,55.4781,80.28,75,90,2.3
40,Guerrero Negro,MX,2021-11-25 15:45:18,27.9769,-114.0611,66.34,68,7,4.09
41,Harta,HU,2021-11-25 15:45:19,46.6985,19.0305,46.0,77,13,7.47
42,Atuona,PF,2021-11-25 15:40:58,-9.8,-139.0333,78.37,80,33,17.72
43,Grand Gaube,MU,2021-11-25 15:45:19,-20.0064,57.6608,79.2,69,1,1.01
44,Ivdel,RU,2021-11-25 15:45:19,60.6911,60.4206,2.21,97,100,2.95
45,East London,ZA,2021-11-25 15:45:20,-33.0153,27.9116,65.34,72,20,16.11
46,Noumea,NC,2021-11-25 15:45:20,-22.2763,166.4572,78.01,99,98,9.98
47,Claudio,BR,2021-11-25 15:41:30,-20.4433,-44.7658,84.15,45,13,3.31
48,Luderitz,NA,2021-11-25 15:41:42,-26.6481,15.1594,66.15,74,55,10.89
49,Vaini,TO,2021-11-25 15:46:20,-21.2,-175.2,73.56,94,75,4.61
50,Longhua,CN,2021-11-25 15:46:21,23.6137,114.1919,59.54,49,17,3.09
51,Port Alberni,CA,2021-11-25 15:46:21,49.2413,-124.8028,45.84,94,100,4.0
52,Caravelas,BR,2021-11-25 15:46:22,-17.7125,-39.2481,82.11,54,37,8.79
53,Korsakovo,RU,2021-11-25 15:46:22,53.2677,37.3569,33.93,82,100,11.21
54,Poum,NC,2021-11-25 15:46:22,-20.2333,164.0167,76.84,73,1,4.99
55,Meulaboh,ID,2021-11-25 15:46:23,4.1363,96.1285,78.28,84,100,3.65
56,Castro,BR,2021-11-25 15:46:23,-24.7911,-50.0119,80.15,47,77,8.46
57,Chuy,UY,2021-11-25 15:46:23,-33.6971,-53.4616,78.87,48,100,11.21
58,Puerto Ayora,EC,2021-11-25 15:46:24,-0.7393,-90.3518,78.76,87,57,5.99
59,Maceio,BR,2021-11-25 15:41:45,-9.6658,-35.7353,92.64,52,40,13.8
60,Nikolskoye,RU,2021-11-25 15:46:24,59.7035,30.7861,42.87,90,100,12.37
61,Port Alfred,ZA,2021-11-25 15:46:24,-33.5906,26.891,65.32,64,93,21.63
62,Lata,PT,2021-11-25 15:46:25,40.1629,-8.3327,52.07,84,100,1.03
63,Souillac,MU,2021-11-25 15:46:25,-20.5167,57.5167,79.18,73,40,6.91
64,Cape Town,ZA,2021-11-25 15:45:07,-33.9258,18.4232,82.11,28,0,23.02
65,Aksum,ET,2021-11-25 15:46:25,14.1245,38.7244,64.56,51,36,15.37
66,Mount Gambier,AU,2021-11-25 15:46:26,-37.8333,140.7667,53.51,76,90,18.41
67,Lagoa,PT,2021-11-25 15:46:26,39.05,-27.9833,61.66,73,93,30.94
68,Pilar,BR,2021-11-25 15:46:27,-9.5972,-35.9567,91.33,43,38,14.32
69,Ballina,AU,2021-11-25 15:46:27,-28.8667,153.5667,70.79,98,100,10.74
70,Chabahar,IR,2021-11-25 15:46:27,25.2919,60.643,76.84,70,0,5.68
71,Havoysund,NO,2021-11-25 15:46:28,70.9963,24.6622,25.03,62,100,12.88
72,New Norfolk,AU,2021-11-25 15:46:28,-42.7826,147.0587,47.7,58,36,3.0
73,Ilulissat,GL,2021-11-25 15:46:28,69.2167,-51.1,26.62,74,75,13.8
74,Sitka,US,2021-11-25 15:46:29,57.0531,-135.33,46.29,87,90,9.22
75,Petropavlovka,RU,2021-11-25 15:46:29,50.6114,105.3196,11.68,90,58,3.91
76,Flinders,AU,2021-11-25 15:46:29,-34.5833,150.8552,66.18,87,100,5.99
77,Kalmunai,LK,2021-11-25 15:46:30,7.4167,81.8167,77.14,91,100,6.24
78,Petropavlovsk-Kamchatskiy,RU,2021-11-25 15:46:30,53.0452,158.6483,34.39,69,75,4.47
79,Cabo San Lucas,MX,2021-11-25 15:46:31,22.8909,-109.9124,75.51,73,75,8.05
80,Sciacca,IT,2021-11-25 15:46:31,37.5082,13.0881,62.47,92,93,6.15
81,Khatanga,RU,2021-11-25 15:46:32,71.9667,102.5,-7.56,99,95,3.13
82,Kruisfontein,ZA,2021-11-25 15:46:32,-34.0033,24.7314,63.88,61,66,20.74
83,Hermanus,ZA,2021-11-25 15:46:32,-34.4187,19.2345,78.91,61,0,31.97
84,Gunib,RU,2021-11-25 15:46:33,42.3876,46.9651,34.12,74,68,3.42
85,Longyearbyen,SJ,2021-11-25 15:43:45,78.2186,15.6401,12.04,48,40,17.27
86,Kuusamo,FI,2021-11-25 15:46:33,65.9667,29.1833,17.64,86,90,6.91
87,Aksarka,RU,2021-11-25 15:46:33,66.5606,67.7975,7.93,83,100,12.91
88,Sharan,RU,2021-11-25 15:46:34,54.8167,54.0,25.66,96,100,13.2
89,Kapaa,US,2021-11-25 15:46:34,22.0752,-159.319,75.52,65,20,11.5
90,Moose Factory,CA,2021-11-25 15:46:35,51.2585,-80.6094,14.0,79,90,11.5
91,Luanda,AO,2021-11-25 15:42:49,-8.8368,13.2343,84.2,65,40,9.22
92,Los Llanos De Aridane,ES,2021-11-25 15:47:35,28.6585,-17.9182,64.13,91,75,7.0
93,Clyde River,CA,2021-11-25 15:47:35,70.4692,-68.5914,2.08,97,100,3.53
94,Acapulco,MX,2021-11-25 15:47:36,16.8634,-99.8901,81.61,68,1,2.06
95,Bodden Town,KY,2021-11-25 15:47:36,19.2833,-81.25,84.2,73,40,11.99
96,Plasy,CZ,2021-11-25 15:47:37,49.9345,13.3904,36.73,99,40,2.19
97,Faya,SA,2021-11-25 15:47:37,18.3851,42.4509,64.51,63,21,6.33
98,Yulara,AU,2021-11-25 15:47:37,-25.2406,130.9889,66.04,63,0,14.97
99,Yerbogachen,RU,2021-11-25 15:47:38,61.2767,108.0108,9.84,97,99,4.59
100,Inuvik,CA,2021-11-25 15:47:38,68.3499,-133.7218,-10.19,73,75,3.44
101,Zunyi,CN,2021-11-25 15:47:39,27.6867,106.9072,48.36,71,0,3.18
102,Dunaharaszti,HU,2021-11-25 15:47:39,47.3545,19.0982,40.06,86,13,3.44
103,Olhao,PT,2021-11-25 15:47:39,37.0286,-7.8411,53.49,87,40,11.5
104,Puerto Ayacucho,VE,2021-11-25 15:47:40,5.6639,-67.6236,85.41,68,100,3.33
105,Santa Vitoria Do Palmar,BR,2021-11-25 15:47:40,-33.5189,-53.3681,79.88,47,100,9.95
106,Pangnirtung,CA,2021-11-25 15:47:41,66.1451,-65.7125,24.8,93,90,2.3
107,Kampene,CD,2021-11-25 15:46:13,-3.6,26.6667,71.76,95,98,1.19
108,Silvan,TR,2021-11-25 15:47:41,38.1419,41.0081,55.69,61,98,3.06
109,Sosenskiy,RU,2021-11-25 15:47:42,54.059,35.9623,35.31,84,100,10.47
110,Gat,IL,2021-11-25 15:46:00,31.61,34.7642,68.68,100,2,5.57
111,Constitucion,CL,2021-11-25 15:46:32,-35.3333,-72.4167,67.39,61,5,13.76
112,Nouadhibou,MR,2021-11-25 15:47:42,20.931,-17.0347,91.38,25,11,8.05
113,Qaanaaq,GL,2021-11-25 15:47:43,77.484,-69.3632,-4.5,58,13,5.7
114,Srandakan,ID,2021-11-25 15:47:43,-7.9386,110.2506,78.6,85,100,2.93
115,Cabedelo,BR,2021-11-25 15:47:43,-6.9811,-34.8339,90.27,64,67,12.12
116,Saint-Philippe,RE,2021-11-25 15:47:44,-21.3585,55.7679,80.19,82,61,4.92
117,North Bend,US,2021-11-25 15:47:44,43.4065,-124.2243,40.86,93,1,8.05
118,Tarko-Sale,RU,2021-11-25 15:47:45,64.9225,77.785,7.14,95,99,11.5
119,Gizo,SB,2021-11-25 15:47:45,-8.103,156.8419,82.18,74,44,2.73
120,Gilgit,PK,2021-11-25 15:47:45,35.9221,74.3087,46.26,58,4,4.05
121,Kiama,AU,2021-11-25 15:47:46,-34.6833,150.8667,66.38,92,100,5.01
122,Kedrovyy,RU,2021-11-25 15:47:10,56.1667,91.8167,21.61,97,100,4.5
123,Seoul,KR,2021-11-25 15:43:10,37.5683,126.9778,37.0,54,0,9.22
124,Omsukchan,RU,2021-11-25 15:47:47,62.5333,155.8,-29.42,99,54,4.76
125,Tuktoyaktuk,CA,2021-11-25 15:47:47,69.4541,-133.0374,-0.4,85,90,18.41
126,Salta,AR,2021-11-25 15:47:47,-24.7859,-65.4117,89.89,46,40,5.99
127,Nuuk,GL,2021-11-25 15:47:48,64.1835,-51.7216,30.81,100,75,4.61
128,Upernavik,GL,2021-11-25 15:47:48,72.7868,-56.1549,17.65,91,100,8.08
129,Kununurra,AU,2021-11-25 15:47:48,-15.7667,128.7333,80.58,89,40,0.0
130,Karratha,AU,2021-11-25 15:47:49,-20.7377,116.8463,81.36,42,0,9.35
131,Marzuq,YE,2021-11-25 15:47:49,14.4,46.4667,72.07,28,95,4.41
132,Providencia,MX,2021-11-25 15:47:49,28.7167,-111.5833,70.05,65,94,5.01
133,Coihaique,CL,2021-11-25 15:47:50,-45.5752,-72.0662,56.01,47,75,11.5
134,Ushtobe,KZ,2021-11-25 15:47:50,45.2514,77.9838,50.65,42,100,7.05
135,Jamestown,US,2021-11-25 15:45:39,42.097,-79.2353,45.72,77,90,4.0
136,Hasaki,JP,2021-11-25 15:48:50,35.7333,140.8333,44.89,55,0,11.07
137,Bayan,CN,2021-11-25 15:48:51,46.0833,127.4,7.56,98,97,4.25
138,Aklavik,CA,2021-11-25 15:48:51,68.2191,-135.0107,-16.6,69,75,12.66
139,Riyadh,SA,2021-11-25 15:45:40,24.6877,46.7219,77.14,27,0,8.61
140,Gweta,BW,2021-11-25 15:48:52,-20.1833,25.2333,94.53,13,18,12.55
141,Isangel,VU,2021-11-25 15:48:52,-19.55,169.2667,73.51,88,75,0.0
142,Garango,BF,2021-11-25 15:48:52,11.8,-0.5506,98.22,10,10,9.73
143,Nuevitas,CU,2021-11-25 15:48:53,21.5453,-77.2644,78.24,63,88,13.06
144,Ereymentau,KZ,2021-11-25 15:48:53,51.6199,73.1033,-3.37,100,92,7.67
145,Arraial Do Cabo,BR,2021-11-25 15:48:53,-22.9661,-42.0278,82.36,69,20,12.66
146,Sochi,RU,2021-11-25 15:48:54,43.6,39.7303,42.89,63,53,4.65
147,Ambon,ID,2021-11-25 15:48:54,-3.6954,128.1814,77.14,94,20,4.61
148,Ca Mau,VN,2021-11-25 15:46:19,9.1769,105.15,74.07,90,92,2.15
149,Victoria,HK,2021-11-25 15:47:46,22.2855,114.1577,69.78,69,4,4.0
150,Praya,CV,2021-11-25 15:48:55,14.9215,-23.5087,84.74,70,75,8.05
151,Namibe,AO,2021-11-25 15:48:55,-15.1961,12.1522,72.41,61,2,13.0
152,Naron,ES,2021-11-25 15:48:56,43.5167,-8.1528,54.68,82,73,18.12
153,Hudson Bay,CA,2021-11-25 15:48:56,52.85,-102.3842,8.08,83,100,5.68
154,San Felipe,VE,2021-11-25 15:48:56,10.3399,-68.7425,84.42,62,68,5.73
155,Ixtapa,MX,2021-11-25 15:48:57,20.7,-105.2,80.94,35,48,3.87
156,Tabuk,PH,2021-11-25 15:48:57,17.4189,121.4443,72.72,95,99,1.81
157,York,US,2021-11-25 15:45:09,40.1254,-77.0,54.66,56,75,4.61
158,Grindavik,IS,2021-11-25 15:48:58,63.8424,-22.4338,40.95,81,40,24.16
159,Avarua,CK,2021-11-25 15:48:59,-21.2078,-159.775,73.45,94,20,5.75
160,Hamilton,US,2021-11-25 15:45:05,39.1834,-84.5333,47.37,93,90,3.0
161,Macieira De Cambra,PT,2021-11-25 15:48:59,40.8594,-8.3734,52.03,59,82,2.8
162,Panaba,MX,2021-11-25 15:48:59,21.2833,-88.2667,82.15,46,2,8.41
163,Aykhal,RU,2021-11-25 15:49:00,66.0,111.5,-14.82,100,100,7.4
164,Berea,US,2021-11-25 15:49:00,41.3662,-81.8543,47.16,87,90,3.0
165,Port Macquarie,AU,2021-11-25 15:49:00,-31.4333,152.9167,71.49,94,90,6.91
166,Teya,RU,2021-11-25 15:49:01,60.3778,92.6267,3.22,99,100,2.01
167,Bethel,US,2021-11-25 15:49:01,41.3712,-73.414,50.65,54,90,6.91
168,West Wendover,US,2021-11-25 15:49:01,40.7391,-114.0733,16.81,73,1,0.0
169,Geraldton,AU,2021-11-25 15:49:02,-28.7667,114.6,64.81,82,0,5.75
170,Ribeira Grande,PT,2021-11-25 15:49:02,38.5167,-28.7,66.6,63,40,25.32
171,Oktyabrskiy,RU,2021-11-25 15:45:45,54.4815,53.471,26.42,92,96,12.28
172,Lompoc,US,2021-11-25 15:46:44,34.6391,-120.4579,69.13,67,1,8.05
173,Sri Aman,MY,2021-11-25 15:49:03,1.2376,111.4621,77.09,94,100,0.0
174,Pontianak,ID,2021-11-25 15:49:03,-0.0333,109.3333,78.78,88,20,3.44
175,San Francisco Menendez,SV,2021-11-25 15:49:03,13.8431,-90.0158,84.27,45,100,3.56
176,Mananjary,MG,2021-11-25 15:49:04,-21.2167,48.3333,74.62,92,99,12.08
177,Bonthe,SL,2021-11-25 15:49:04,7.5264,-12.505,86.68,63,10,12.33
178,Moron,AR,2021-11-25 15:47:58,-34.6534,-58.6198,66.97,92,90,4.0
179,Nanortalik,GL,2021-11-25 15:49:04,60.1432,-45.2371,37.56,99,100,1.95
180,Sinnamary,GF,2021-11-25 15:49:05,5.3833,-52.95,82.92,73,87,4.81
181,Iracoubo,GF,2021-11-25 15:50:05,5.4802,-53.2011,83.37,71,92,4.92
182,Hefei,CN,2021-11-25 15:50:05,31.8639,117.2808,44.62,70,0,2.24
183,Gravelbourg,CA,2021-11-25 15:50:06,49.8834,-106.5512,19.67,76,100,9.75
184,Torbay,CA,2021-11-25 15:50:06,47.6666,-52.7314,51.28,99,90,17.27
185,Dalumangcob,PH,2021-11-25 15:50:06,7.2167,124.3,76.23,93,99,1.23
186,Airai,TL,2021-11-25 15:50:07,-8.9266,125.4092,62.31,94,78,1.79
187,Rundu,NA,2021-11-25 15:50:07,-17.9333,19.7667,96.37,8,10,2.84
188,Valparaiso,CL,2021-11-25 15:45:14,-33.0393,-71.6273,73.63,78,0,8.05
189,Curup,ID,2021-11-25 15:50:07,-3.4667,102.5333,69.26,95,100,1.45
190,Lebu,CL,2021-11-25 15:45:46,-37.6167,-73.65,61.9,68,3,9.33
191,Bengkulu,ID,2021-11-25 15:50:08,-3.8004,102.2655,77.02,85,51,3.78
192,High Level,CA,2021-11-25 15:50:09,58.5169,-117.136,15.91,92,90,3.44
193,Cidreira,BR,2021-11-25 15:50:09,-30.1811,-50.2056,75.52,72,32,18.52
194,Pafos,CY,2021-11-25 15:50:09,34.7667,32.4167,66.11,72,8,3.44
195,Korla,CN,2021-11-25 15:50:09,41.7597,86.1469,30.51,51,0,1.79
196,Najran,SA,2021-11-25 15:50:10,17.4924,44.1277,74.05,32,0,6.78
197,Saldanha,ZA,2021-11-25 15:50:10,-33.0117,17.9442,75.02,44,1,16.67
198,Saskylakh,RU,2021-11-25 15:50:10,71.9167,114.0833,-0.56,89,100,11.65
199,Kandi,BJ,2021-11-25 15:50:11,11.1342,2.9386,97.32,12,18,8.37
200,Tasiilaq,GL,2021-11-25 15:50:11,65.6145,-37.6368,17.19,55,3,14.34
201,Chokurdakh,RU,2021-11-25 15:50:12,70.6333,147.9167,-31.09,100,40,5.35
202,Kincardine,GB,2021-11-25 15:50:12,56.0667,-3.7167,41.56,81,100,8.55
203,Fortuna,US,2021-11-25 15:50:12,40.5982,-124.1573,44.37,73,1,3.0
204,San Fernando,PH,2021-11-25 15:50:13,15.0286,120.6898,82.42,84,98,3.56
205,Okhotsk,RU,2021-11-25 15:50:13,59.3833,143.3,5.61,76,16,12.62
206,Dunedin,NZ,2021-11-25 15:47:41,-45.8742,170.5036,57.25,55,99,4.41
207,Cherskiy,RU,2021-11-25 15:50:14,68.75,161.3,-21.26,100,100,2.71
208,Maine-Soroa,NE,2021-11-25 15:50:14,13.2114,12.0241,89.28,11,95,13.62
209,Hastings,GB,2021-11-25 15:50:14,50.8552,0.5729,43.99,70,5,16.55
210,Oakdale,US,2021-11-25 15:50:14,44.963,-92.9649,19.72,60,1,1.99
211,Urumqi,CN,2021-11-25 15:48:03,43.801,87.6005,25.75,80,6,2.24
212,Saint-Joseph,RE,2021-11-25 15:50:15,-21.3667,55.6167,79.18,83,50,2.33
213,Loksa,EE,2021-11-25 15:50:15,59.5764,25.7214,41.41,94,100,12.24
214,Katsuura,JP,2021-11-25 15:50:16,35.1333,140.3,60.82,60,0,25.12
215,Adrar,MR,2021-11-25 15:47:00,20.5022,-10.0711,89.31,20,77,5.86
216,Villa Sandino,NI,2021-11-25 15:50:16,12.0483,-84.9936,81.77,74,49,15.43
217,Naze,JP,2021-11-25 15:50:16,28.3667,129.4833,60.15,63,100,5.95
218,Atagay,RU,2021-11-25 15:50:17,55.1033,99.3875,23.65,89,100,5.57
219,Coquimbo,CL,2021-11-25 15:45:33,-29.9533,-71.3436,64.13,67,75,13.8
220,Vryburg,ZA,2021-11-25 15:50:17,-26.9566,24.7284,68.76,62,79,14.97
221,Severka,RU,2021-11-25 15:50:18,56.8688,60.3015,8.04,89,77,6.98
222,Asfi,MA,2021-11-25 15:50:18,32.2994,-9.2372,62.65,61,58,6.22
223,Vardo,NO,2021-11-25 15:50:18,70.3705,31.1107,17.35,79,0,20.71
224,Mehamn,NO,2021-11-25 15:50:19,71.0357,27.8492,17.51,84,100,8.86
225,Carnarvon,AU,2021-11-25 15:50:19,-24.8667,113.6333,78.87,41,0,14.97
226,Kudahuvadhoo,MV,2021-11-25 15:50:19,2.6708,72.8944,81.37,70,85,14.03
227,Saint-Francois,FR,2021-11-25 15:50:20,46.4154,3.9054,41.47,92,90,4.61
228,Strezhevoy,RU,2021-11-25 15:51:20,60.7333,77.5889,1.38,100,92,5.55
229,Bukama,CD,2021-11-25 15:51:20,-9.2,25.85,74.43,83,96,5.95
230,Lasa,IT,2021-11-25 15:51:21,46.6166,10.7002,45.34,92,100,2.75
231,Santa Cruz Del Sur,CU,2021-11-25 15:51:21,20.7147,-77.9956,80.1,65,52,18.45
232,Mahebourg,MU,2021-11-25 15:51:22,-20.4081,57.7,79.09,73,40,6.91
233,Pacifica,US,2021-11-25 15:51:22,37.6138,-122.4869,57.43,63,20,1.99
234,Agde,FR,2021-11-25 15:47:06,43.3108,3.4758,51.84,85,90,3.0
235,Ekhabi,RU,2021-11-25 15:51:23,53.5102,142.9671,33.37,92,97,17.92
236,Nadvoitsy,RU,2021-11-25 15:51:23,63.8667,34.3167,25.48,94,100,18.48
237,Chulman,RU,2021-11-25 15:51:23,56.8479,124.9104,-12.53,99,93,1.39
238,Amurzet,RU,2021-11-25 15:51:24,47.6967,131.0981,11.46,93,75,6.42
239,Svay Rieng,KH,2021-11-25 15:51:24,11.0879,105.7993,76.01,83,87,6.46
240,Faanui,PF,2021-11-25 15:51:24,-16.4833,-151.75,81.07,78,18,15.41
241,Cascas,PE,2021-11-25 15:51:25,-7.4833,-78.8167,80.38,55,90,10.63
242,Asau,RO,2021-11-25 15:51:25,46.4333,26.4,34.72,76,0,5.66
243,Sydney,AU,2021-11-25 15:49:54,-33.8679,151.2073,66.74,91,75,5.01
244,Ler,SS,2021-11-25 15:51:26,8.3018,30.1418,85.64,22,76,4.61
